FOCE,Status,number,Color,Coral,Start,Final,displacement,Change,pCO2_ave,pCO2_SD,Omega_AR,Omega_Ar_SD
F1,Dead,5,white,2421,132.1646,116.5302,199,-0.118294914,691.1001364,580.7744782,2.26,1.1225481
F1,Dead,4,blue I,0952,76.499,64.4532,102,-0.157463496,691.1001364,580.7744782,2.26,1.1225481
F1,Dead,5,red,0217,132.5744,116.6821,200,-0.119874576,691.1001364,580.7744782,2.26,1.1225481
F1,Dead,8,green,1721,69.1421,63.4321,148,-0.082583549,691.1001364,580.7744782,2.26,1.1225481
F1,Dead,3,Blue II,1381,71.8338,68.1306,100,-0.051552333,691.1001364,580.7744782,2.26,1.1225481
F2,Dead,4,white,2435,70.8985,78.3604,100,0.105247643,401.8116268,97.56786662,3.36,0.469906124
F2,Dead,5,blue I,0949,129.6551,109.4868,195,-0.155553465,401.8116268,97.56786662,3.36,0.469906124
F2,Dead,3,red,0221,59.4851,59.0848,96,-0.006729416,401.8116268,97.56786662,3.36,0.469906124
F2,Dead,3,green,1718,130.0199,117.2048,200,-0.098562605,401.8116268,97.56786662,3.36,0.469906124
F2,Dead,5,Blue II,1376,106.3884,85.3298,162,-0.103945543,401.8116268,97.56786662,3.36,0.469906124
F3,Dead,1,white,2428,72.4539,69.3218,103,-0.043228867,680.4833141,571.3848282,2.28,1.087434724
F3,Dead,6,blue I,0946,132.6337,132.4632,190,-0.076681115,680.4833141,571.3848282,2.28,1.087434724
F3,Dead,2,red,0218,72.2487,65.8106,98,-0.089110254,680.4833141,571.3848282,2.28,1.087434724
F3,Dead,5,green,1719,75.2519,61.8216,94,-0.178471241,680.4833141,571.3848282,2.28,1.087434724
F3,Dead,8,Blue II,1378,130.1055,100.0238,200,-0.231210056,680.4833141,571.3848282,2.28,1.087434724
F4,Dead,6,white,2423,117.0715,110.2168,130,-0.058551398,400.185695,94.24885708,3.34,0.487391421
F4,Dead,3,blue I,0953,76.955,57.8216,100,-0.248631018,400.185695,94.24885708,3.34,0.487391421
F4,Dead,7,red,0214,115.4033,99.6721,110,-0.136314993,400.185695,94.24885708,3.34,0.487391421
F4,Dead,2,green,1717,131.9644,124.3268,180,-0.057876215,400.185695,94.24885708,3.34,0.487391421
F4,Dead,2,Blue II,1382,75.2778,71.4263,80,-0.051163823,400.185695,94.24885708,3.34,0.487391421
F1,Live,7,white,2424,135.2763,128.1765,139,-0.052483694,691.1001364,580.7744782,2.26,1.1225481
F1,Live,6,red,0215,136.7007,131.662,160,-0.036859358,691.1001364,580.7744782,2.26,1.1225481
F1,Live,6,green,1722,75.2832,70.031,107,-0.069765897,691.1001364,580.7744782,2.26,1.1225481
F1,Live,1,Blue II,1383,75.7029,88.1529,111,0.164458693,691.1001364,580.7744782,2.26,1.1225481
F1 ,Live,1,blue I,0951,77.1767,73.46,107,-0.048158317,691.1001364,580.7744782,2.26,1.1225481
F2,Live,3,white,2427,67.1332,74.621,128,0.111536468,401.8116268,97.56786662,3.36,0.469906124
F2,Live,7,blue I,0948,131.0858,133.068,214,0.091407307,401.8116268,97.56786662,3.36,0.469906124
F2,Live,4,red,0219,55.9057,72.642,98,0.120493975,401.8116268,97.56786662,3.36,0.469906124
F2,Live,1,green,1715,130.4829,130.62,214,0.070025268,401.8116268,97.56786662,3.36,0.469906124
F2,Live,6,Blue II,1377,132.4634,120.156,201,0.0580734,401.8116268,97.56786662,3.36,0.469906124
F3,Live,2,white,2425,71.168,69.332,111,-0.025798112,680.4833141,571.3848282,2.28,1.087434724
F3,Live,8,blue I,0947,138.0025,145.6021,230,0.055068568,680.4833141,571.3848282,2.28,1.087434724
F3,Live,1,red,0220,65.8854,69.0888,102,0.048620787,680.4833141,571.3848282,2.28,1.087434724
F3,Live,7,Blue II,1379,145.481,137.2038,228,-0.056895402,680.4833141,571.3848282,2.28,1.087434724
F4,Live,8,white,2422,124.7325,137.5213,203,0.102529814,400.185695,94.24885708,3.34,0.487391421
F4,Live,2,blue I,0950,67.0663,71.2346,98,0.06215193,400.185695,94.24885708,3.34,0.487391421
F4,Live,8,red,0216,124.0874,138.384,188,0.115213954,400.185695,94.24885708,3.34,0.487391421
F4,Live,4,green,1716,134.0688,141.0648,200,0.052182163,400.185695,94.24885708,3.34,0.487391421
F4,Live,4,Blue II,1380,71.5228,77.4223,104,0.082484187,400.185695,94.24885708,3.34,0.487391421